Nombre,Nivel,Domicilio,Barrio,point_x,point_y
Esc. Primaria Común N° 09 Dr. Jose Benjamin Zubiaur,Primario Común,Carlos Berg 3460,VILLA SOLDATI,103175.055789000005461,96554.217125800001668
Escuela Infantil N° 06/19°,Inicial Común,Cnel. Martiniano Chilavert 1935,FLORES,102734.235790000006091,97955.609335600005579
Esc. Primaria Común N° 16 Wenceslao Posse,Primario Común,Juncal 3131,PALERMO,104947.440184000006411,104887.143632999999681
Esc. de Educacion Media N° 03/19°,Secundario Común,Agustín de Vedia 2519,FLORES,102734.235790000006091,97955.609335600005579
Esc. Primaria Común N° 02 Florencio Varela,Primario Común,Caracas 10,FLORES,100115.816997000001720,100156.345874999999069
Esc. de Educacion Media N° 02/19° Arturo Jauretche,Secundario Común,Martínez Castro 3067,VILLA SOLDATI,101259.011301000005915,96382.297601600002963
Escuela Infantil La Casita de Any,Inicial Común,Quesada 2876,NUÑEZ,99535.921164800005499,108084.193943999998737
Escuela Infantil N° 05/18°,Inicial Común,Arregui 4430,MONTE CASTRO,96280.965365199997905,101564.197987000006833
Inst. Sta. Catalina de Belgrano,Inicial Común - Primario Común - Secundario Común - Superior No Universitario Común,Carbajal 3250,BELGRANO,100190.377835999999661,106436.637537000002339
Inst. Mekhitarista,Inicial Común - Primario Común - Secundario Común,Virrey del Pino 3511,BELGRANO,99789.085528399999021,106332.062755000006291
Inst. de Enseñanza Primaria Gral. San Martín,Inicial Común - Primario Común,Cuba 3302,NUÑEZ,99825.715373200000613,108823.979980000003707
Inst. Sta. María de los Angeles,Inicial Común - Primario Común - Secundario Común,Manuela Pedraza 3950,COGHLAN,98392.655501800007187,107811.809343999993871
Esc. Primaria Común N° 03 Primera Junta,Primario Común,Avda. Rivadavia 4817,CABALLITO,102677.256554999999935,101566.238637000002200
Jardín de Infantes Común N° 03/07° La Porteña,Inicial Común,Yerbal 1548,CABALLITO,101046.184213000000454,100600.307104999999865
Esc. Primaria Común N° 04 Presidente Dr. Arturo Umberto Illia,Primario Común,Avda. Rivadavia 6065,CABALLITO,101046.184213000000454,100600.307104999999865
Jardín de Infantes Nucleado C (EPCjc 05/07°),Inicial Común,Manuel Ricardo Trelles 948,FLORES,100234.208186000003479,101545.341262999994797
Esc. Primaria Común N° 05 Juan B. Peña,Primario Común,Manuel Ricardo Trelles 948,FLORES,100234.208186000003479,101545.341262999994797
Esc. de Música N° 04,Otros Servicios Educativos de la modalidad Común,Portela 3150,VILLA SOLDATI,101819.023514000000432,96413.274008599997615
Esc. Primaria Común N° 06 Delfín Jijena,Primario Común,Olaya 1565,VILLA CRESPO,101503.292667999994592,102971.288079000005382
Jardín de Infantes Común N° 04/07°,Inicial Común,Espinosa 1243,CABALLITO,100906.101202999998350,102284.464519000001019
Esc. Primaria Común N° 08 Provincia de San Juan,Primario Común,Cnel. Apolinario Figueroa 1077,CABALLITO,100906.101202999998350,102284.464519000001019
