nombre,longitud,latitud,direccion,barrio,comuna,codigo_postal,capacidad
LA FRANCE,-58.390154,-34.605531,SARMIENTO 1656,San Nicolas,Comuna 1,1042.0,1372 personas
GOLDEN CLUB,-58.370716,-34.614905,BALCARCE 605,Monserrat,Comuna 1,1064.0,425 personas
LE CLICK,-58.393721,-34.609365000000004,AV. RIVADAVIA1908,Balvanera,Comuna 3,1033.0,990 personas
"VIRUS 10,1s",-58.471661,-34.631146,RIVADAVIA7523,Flores,Comuna 7,1406.0,216 personas
LIQUID,-58.415361,-34.585439,AV. SANTA FÉ3651,Palermo,Comuna 14,1425.0,576 personas
VELVET/DISCOSIX,-58.465256999999994,-34.552355,AV. CABILDO3241,,Comuna 13,1429.0,900 personas
PALACIO ALSINA,-58.379677,-34.610694,ALSINA 934,,,,2140 personas
BAHREINN,-58.371747,-34.60195,LAVALLE 343,San Nicolas,Comuna 1,1047.0,880 personas
FRERE,-58.43826,-34.564971,OLLEROS 1775,Palermo,Comuna 14,1426.0,650 personas
REY CASTRO,-58.374727,-34.612002000000004,PERU 342,Monserrat,Comuna 1,1067.0,901 personas
EL TEATRO SUR,-58.416264,-34.644773,AV. SAENZ459,Nueva Pompeya,Comuna 4,1437.0,2346 personas
CASTELBAMBA,-58.39375,-34.605027,RIOBAMBA 345,Balvanera,Comuna 3,1025.0,428 personas
CITY HALl,-58.501884,-34.585999,AV. MOSCONI 2883,Villa Pueyrredon,Comuna 12,1419.0,1434 personas
IVANOFF,-58.47138,-34.631291,RIVADAVIA 7514,Flores,Comuna 7,1406.0,323 personas
CLOCHE,-58.394594,-34.589074,J.E. URIBURU1721,Recoleta,Comuna 2,1114.0,588 personas
EVELYN,-58.470238,-34.630759000000005,AV. RIVADAVIA 7425,Flores,Comuna 7,1406.0,452 personas
ASIA DE CUBA,-58.364046,-34.605937,OLGA COSSETTINI 751,Puerto Madero,Comuna 1,1107.0,446 personas
TABASCO PUB,-58.472276,-34.631799,JOSÉ MARTÍ 17,Flores,Comuna 7,1406.0,999 personas
CAIX,-58.400133,-34.569349,R. OBLIGADO Y SALGUERO,,,,1764 personas
CLUB ARÁOZ,-58.41629,-34.586512,ARAOZ 2422,Palermo,Comuna 14,1425.0,1030 personas
VOX,-58.38004300000001,-34.609589,AV. HIPÓLITO YRIGOYEN968,Monserrat,Comuna 1,1086.0,532 personas
INPUT,-58.436153,-34.586674,AV. JUAN B. JUSTO 1658,Palermo,Comuna 14,1414.0,742 personas
ONE MORE CLUB,-58.499948,-34.598601,AV. BEIRO3334,Villa Del Parque,Comuna 11,1419.0,480 personas
XEL - HA,-58.507925,-34.592908,AV SAN MARTIN 6628,Villa Devoto,Comuna 11,1419.0,692 personas
PALERMO CLUB,-58.42146700000001,-34.582366,BORGES 2450,Palermo,Comuna 14,1425.0,650 personas
RETRO,-58.474756000000006,-34.632228999999995,RIVADAVIA 7802,Floresta,Comuna 10,1407.0,1872 personas
SEU DISCO,-58.457034,-34.626355,AV. BOYACA 28,Flores,Comuna 7,1406.0,186 personas
SITGES,-58.425077,-34.596878000000004,AV. CORDOBA4119,Palermo,Comuna 14,1188.0,203 personas
MOLIERE,-58.370537,-34.615568,BALCARCE 678,Monserrat,Comuna 1,1064.0,531 personas
GONG,-58.376047,-34.598835,AV. CÓRDOBA 634,San Nicolas,Comuna 1,1054.0,200 personas
EL FANTA NORTEÑO,-58.41535,-34.610722,AV. RIVADAVIA 3469,Almagro,Comuna 5,1203.0,1270 personas
YOUR CLUB,-58.379627,-34.601523,SUIPACHA 9131,San Nicolas,Comuna 1,1008.0,520personas
LATINO 11,-58.40896899999999,-34.609612,ECUADOR 60,Balvanera,Comuna 3,1214.0,1540 personas
